entity,year,total_pop,continent,life_expectancy,deaths_neoplasms,daly,percent_prevalence_depressive_disorders,kg_banana_capita_year,kg_dates_capita_year,kg_citrus_other_capita_year,kg_orng_mand_capita_year,kg_apple_prod_capita_year,kg_lemon_lime_capita_year,kg_grape_capita_year,kg_grapefrt_prod_capita_year,kg_pineapple_prod_capita_year,kg_plantains_capita_year,kg_other_frt_capita_year,cal_frm_animl_prot,cal_frm_plnt_prot,cal_frm_fat,cal_frm_carbs,fruit_consumed_kg_pc_year,gdp_capita_year
Afghanistan,2007,27100542,NA,59.375,14253.281223073707,74522.04569888029,4.12972758067,0.3,0.12,0.06,0.39,1.72,NA,8.8,NA,0,NA,8.84,45.84,178.16,288.81,1533.19,55.4576,1460.8257513794
Afghanistan,2008,27722281,NA,59.93,14385.275410147662,71463.85366426603,4.12965570782,0.43,0.02,0.06,0.24,1.79,NA,7.32,NA,0,NA,8.69,47.2,180.64,267.48,1545.68,50.8544,1484.11446132539
Afghanistan,2009,28394806,NA,60.484,14458.35428630954,69850.85633247861,4.1299718921599995,1.36,0.04,0.02,1.37,2.19,NA,7.64,NA,0,NA,8.03,46.72,184.44,276.48,1573.36,56.581,1758.90447663765
Afghanistan,2011,30117411,NA,61.553,14868.810348172474,65925.15714651182,4.1308621916099995,0.95,0.21,1.09,3.73,1.93,NA,11.49,NA,0,NA,6.79,48.72,186.92,297.72,1573.64,71.76060000000001,1904.55992565594
Afghanistan,2012,31161378,NA,62.054,15065.556659877584,64673.316267345894,4.13248478823,1.6,0.29,0.62,5.89,1.45,NA,15.84,NA,0,NA,7.92,49.04,186.6,300.33,1564.03,92.0914,2075.49161435331
Afghanistan,2013,32269592,NA,62.525,15426.545857169383,62943.339932485585,4.13466069347,2.7,0.02,1.29,4.75,2.22,NA,15.8,NA,0,NA,7.29,48.88,184.12,301.68,1555.32,93.297,2116.46525771251
Afghanistan,2014,33370804,NA,62.966,15712.350529233709,62991.42329800815,4.13352565882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91.8722,2102.38460375974
Afghanistan,2015,34413603,Asia,63.377,15902.337632607934,63274.70775839581,4.13541925043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104.0104,2068.26590413364
Afghanistan,2016,35383028,NA,63.763,16244.82901499455,62958.587086996355,4.13569434555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84.96740000000001,2057.06797755329
Afghanistan,1990,12412311,NA,50.331,10061.873743480066,104103.06930425552,4.07183117706,0.03,0,0.45,0.94,1.35,NA,14.03,NA,0,NA,19.39,67.8,197.08,435.6,1613.52,99.18800000000002,NA
Afghanistan,1991,13299016,NA,50.999,10171.33351148766,101240.7439882729,4.079530935399999,0.05,0,0.42,0.88,1.16,NA,18.4,NA,0,NA,18.16,64.96,173.68,370.08,1435.28,107.0518,NA
Afghanistan,1992,14485543,NA,51.641,10592.36758116952,90918.4703608358,4.08835824297,0.28,0,0.39,0.94,1.08,NA,14.01,NA,0,NA,16.13,59.76,159.12,342.99,1329.13,89.98160000000001,NA
Afghanistan,1993,15816601,NA,52.256,11126.644646057604,88234.35967522294,4.0961898971199995,0.21,0.01,0.4,0.91,1,NA,13.15,NA,0,NA,15.92,58.44,168.88,297.72,1384.96,86.5566,NA
Afghanistan,1994,17075728,NA,52.842,11477.937574856558,92997.69410701288,4.09958157816,0.06,0,0.4,0.66,0.87,NA,12.28,NA,0,NA,15.93,60.04,159.32,286.92,1313.72,82.7754,NA
Afghanistan,1995,18110662,NA,53.398,11711.27393587748,91435.56005624976,4.10420732528,0.12,0,0.37,0.65,0.69,NA,12.62,NA,0,NA,14.7,60.64,151.2,365.94,1266.22,79.87100000000001,NA
Afghanistan,1996,18853444,NA,53.924,11898.875426932313,89343.79354098019,4.10750045554,0.05,0,0.37,0.65,0.87,NA,11.32,NA,0,NA,14.51,64.04,152.96,349.74,1276.26,76.11720000000001,NA
Afghanistan,1997,19357126,NA,54.424,12109.522389548132,89603.68903254635,4.1108336772200005,0.13,0,0.4,0.96,0.59,NA,11.17,NA,0,NA,14.55,67.88,159.4,308.16,1338.56,76.17200000000001,NA
Afghanistan,1998,19737770,NA,54.906,12283.506787677386,92889.3110370671,4.114437791009999,0.13,0,0.42,0.62,0.63,NA,10.9,NA,0,NA,15.15,70.84,160.28,320.13,1351.75,76.30900000000001,NA
Afghanistan,1999,20170847,NA,55.376,12435.45866885482,88708.26447370947,4.11763349824,0.08,0.05,0.41,0.66,0.49,NA,9.98,NA,0,NA,13.94,72.56,151.92,342.18,1285.34,70.1714,NA
Afghanistan,2000,20779957,NA,55.841,12605.38077044338,88007.27076535637,4.1186103435899994,0.03,0.11,0.39,0.82,0.4,NA,9.13,NA,0,NA,13.87,59.2,151.08,289.26,1290.46,67.7876,NA
Afghanistan,2001,21606992,NA,56.308,12830.901543391135,87059.06777563108,4.1213810747,0.18,0.09,0.38,0.96,0.68,NA,11.67,NA,0,NA,13.93,44.28,154.4,242.64,1295.68,76.41860000000001,NA
Afghanistan,2002,22600774,NA,56.784,13069.174567716733,81936.16307101624,4.12492821619,0.17,0.09,0.35,1.13,0.67,NA,10,NA,0,NA,13.27,57.04,156.36,269.55,1343.05,70.3906,1189.78466765718
Afghanistan,2003,23680871,NA,57.271,13586.66102190516,79011.74938924293,4.12523049204,0.31,0.08,0.47,1.1,0.79,NA,7.46,NA,0,NA,10.66,52.88,165.28,269.91,1403.93,57.156400000000005,1235.81006329565
Afghanistan,2004,24726689,NA,57.772,13861.12111339164,78126.90176614499,4.12638387348,0.25,0.1,0.37,1.49,0.73,NA,8.54,NA,0,NA,10.12,53.4,167.56,314.55,1431.49,59.211400000000005,1200.27801321734
Afghanistan,2005,25654274,NA,58.29,14038.275744932876,75879.61380080169,4.12690776347,0.03,0.23,0.22,0.36,0.71,NA,9.26,NA,0,NA,10.98,52.08,161.96,330.75,1403.21,59.732000000000006,1286.79365893927
Afghanistan,2006,26433058,NA,58.826,14156.787620472827,75742.31917105954,4.128638371969999,0.42,0.23,0.19,1.71,1.82,NA,7.55,NA,0,NA,10.31,45.12,168.72,280.17,1471.99,60.9376,1315.78911741835
Afghanistan,2010,29185511,NA,61.028,14645.74863391439,67908.00819051161,4.13087388504,0.75,0.23,0.1,4.35,2.3,NA,9.03,NA,0,NA,8.61,48.44,184.12,304.92,1566.52,69.5138,1957.02906990812
Afghanistan,2017,36296111,NA,64.13,16670.45790997222,56925.14842386008,4.13634710028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104.7502,2058.4002210698
Andorra,1990,54508,NA,76.507,84.20646560277322,21786.74198217087,3.76813538434,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andorra,1991,56666,NA,76.668,89.39834996192506,21625.960939890545,3.76334506066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andorra,1992,58882,NA,76.835,95.20879820194683,21582.908101684385,3.76368075765,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andorra,1993,60974,NA,77.007,102.25922016269956,21328.173917271983,3.75623502968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andorra,1994,62676,NA,77.188,105.86341550132728,21184.340461444255,3.75965348572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andorra,1995,63860,NA,77.387,107.95207270489396,20877.80715245303,3.76650466122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andorra,1996,64363,NA,77.618,110.24407335492675,20604.93686893073,3.76696754545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andorra,1997,64318,NA,77.886,112.8316355150446,20265.50789114705,3.76105423904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andorra,1998,64140,NA,78.188,115.379823194386,20000.706566030232,3.75812985171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andorra,1999,64368,NA,78.519,117.81804163932864,19697.941946383653,3.75333883157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andorra,2000,65390,NA,78.857,121.4346567703252,19507.126360768732,3.751057408579999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andorra,2001,67344,NA,79.18,125.0512749624332,19304.53266986339,3.75120620275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andorra,2002,70048,NA,79.468,129.49776986203096,19086.60670882782,3.74705210091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andorra,2003,73180,NA,79.713,135.08042137676046,19001.21509773684,3.73833268212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andorra,2004,76250,NA,79.919,140.19437851923234,18974.660048940743,3.7288308906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andorra,2005,78871,NA,80.103,142.5761129404554,18894.528563122043,3.7245327812,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andorra,2006,80995,NA,80.292,146.72427775978358,18762.704021808077,3.71819956838,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andorra,2007,82682,NA,80.515,152.24907111537496,18693.74449883277,3.71148456641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andorra,2008,83860,NA,80.785,157.80114222965972,18565.74072288593,3.70868977589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
