entity,code,year,fruit_consumed_kg_pc_year,gdp_capita_year,total_pop,continent,kg_vgtbl_capita_year,bladder_cancer_deaths,brain_nvss_cancer_deaths,breast_cancer_deaths,cervical_cancer_deaths,colon_rect_cancer_deaths,esophageal_cancer_deaths,gallbladder_cancer_deaths,kidney_cancer_deaths,larynx_cancer_deaths,leukemia_deaths,lip_and_oral_cavity_cancer_deaths,liver_cancer_deaths,non_hodgkin_lymphoma_deaths,other_cancers_deaths,other_pharynx_cancer_deaths,ovarian_cancer_deaths,pancreatic_cancer_deaths,prostate_cancer_deaths,stomach_cancer_deaths,tracheal_bronchus_and_lung_cancer_deaths,cal_frm_animl_prot,cal_frm_plnt_prot,cal_frm_fat,cal_frm_carbs,daly,percent_prevalence_depressive_disorders,total_life_satis,kg_banana_capita_year,kg_dates_capita_year,kg_citrus_other_capita_year,kg_orng_mand_capita_year,kg_apple_prod_capita_year,kg_lemon_lime_capita_year,kg_grape_capita_year,kg_grapefrt_prod_capita_year,kg_pineapple_prod_capita_year,kg_plantains_capita_year,kg_other_frt_capita_year,life_expectancy,deaths_unsafe_water_source,deaths_unsafe_sanitation,deaths_no_access_to_handwashing_facility,deaths_household_air_pollution_from_solid_fuels,deaths_non_exclusive_breastfeeding,deaths_discontinued_breastfeeding,deaths_child_wasting,deaths_child_stunting,deaths_low_birth_weight_for_gestation,deaths_secondhand_smoke,deaths_alcohol_use,deaths_drug_use,deaths_diet_low_in_fruits,deaths_diet_low_in_vegetables,deaths_unsafe_sex,deaths_low_physical_activity,deaths_high_fasting_plasma_glucose,deaths_high_total_cholesterol,deaths_high_body_mass_index,deaths_high_systolic_blood_pressure,deaths_smoking,deaths_iron_deficiency,deaths_vitamin_a_deficiency,deaths_low_bone_mineral_density,deaths_air_pollution,deaths_a_outdoor_air_pollution_all_ages_ihme,deaths_diet_high_in_sodium,deaths_diet_low_in_whole_grains,deaths_diet_low_in_nuts_and_seeds,population_sq_kg_land,prevalence_schizophrenia,prevalence_bipolar_disorder,prevalence_eating_disorders,prevalence_anxiety_disorders,prevalence_drug_use_disorders,prevalence_alcohol_use_disorders,proportion_wmn_snr_uppr_mgmnt,num_males_born_100fml_born,percent_fml,prevalence_mental_and_substance_use_disorders,dal_ys_disability_adjusted_life_years_non_communicable_diseases,dal_ys_disability_adjusted_life_years_communicable_maternal_neonatal_and_nutritional_diseases,dal_ys_disability_adjusted_life_years_injuries
Afghanistan,AFG,1916,NA,NA,8524936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andorra,AND,1974,NA,NA,29515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.7978723404255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aruba,ABW,1940,NA,NA,30399,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Austria,AUT,1908,NA,NA,6488197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bangladesh,BGD,2009,65.8696,2762.18047443876,145924795,NA,72.69220000000001,1086,1860,4066,2885,5955,2273,842,403,2132,2124,5407,2516,1743,9132,2796,1082,1985,1743,6127,14978,37,183.92,264.87,1939.21,41109.75726796206,4.22374274621,5.083,5.03,0.01,0.05,0.47,0.93,0.34,0.36,0.36,1.38,NA,15.11,69.485,24563.881500931227,17554.7228062202,18713.5749959576,75554.5503103763,3890.328934431076,39.56578728957283,37815.88156353496,6396.048613034675,46431.25633831328,20455.93877868379,9160.418007826884,4129.5903794600445,63375.815487847765,43196.29497796074,3808.126989718656,15519.89277964828,86783.42071201978,NA,29336.018218697223,126137.2737812278,77941.67371658818,2236.614927859852,3478.3352004484555,2608.29199640862,120316.83268662207,47999.34,32357.65017179756,36822.700561066275,29095.893701019937,1121.0324575555,0.25097711332399997,0.581834935835,0.119330962866,4.24602810717,0.499140071648,1.42073439104,NA,104.9,49.1023496041231,12.758795961,25552223.931132484,20895457.0407927,5048244.217407576
Belarus,BLR,1908,NA,NA,5284924,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Belarus,BLR,1986,NA,NA,9965178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,220.48,205.8,911.97,2025.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.5119305856833,NA,NA,NA,NA,NA,NA,NA,NA,53.2732581394933,NA,NA,NA,NA
Belgium,BEL,1942,NA,NA,8392202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.110001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Belize,BLZ,1908,NA,NA,40502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bermuda,BMU,2019,NA,81804.2656772398,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82.593,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brazil,BRA,2019,NA,14763.8716968734,211049519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.451,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.881,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.61,105,50.8489000631174,NA,NA,NA,NA
Cameroon,CMR,1992,312.223,2831.18836001028,12499499,NA,129.2458,202,175,561,706,431,190,133,79,78,258,81,1790,246,844,43,120,318,386,769,601,45.24,158.04,369.36,1540.36,72781.9088168306,3.63461166542,NA,53.02,0.02,0.01,0,0.03,0,0.02,0,2.62,48.67,9.57,52.738,14371.406401298918,10841.732040652178,9369.889275854135,7166.4763508718825,3075.314168754081,336.6849974258693,17839.536049403276,6298.445797700076,8228.235239773327,1183.277098300054,5660.871923568811,267.47158280696505,981.1434698816458,1212.5475780260929,3049.926576138134,511.7897450976972,4467.284775052897,NA,3638.551375774451,5908.254809854284,3201.64545006325,820.9847222737562,9640.29558896752,312.72562081944244,10205.64592679344,3113.26,573.631294194096,1786.6410849510523,958.2524609747962,26.4422140424362,0.16849444871400002,0.620671707787,0.130249944432,2.88371030192,0.513958071079,1.00310257763,NA,103,50.2599584191334,11.644420108,1946034.1941918544,6648433.537994784,489531.3512306133
Cameroon,CMR,1950,NA,NA,4307021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chile,CHL,1983,119.5462,NA,11907955,NA,328.52600000000007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98.68,172.32,533.88,1734.12,NA,NA,NA,3.77,0,0,5.42,9.9,5.16,4.33,0,0.27,0,14.79,70.782,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.0153900571865,NA,NA,NA,NA,NA,NA,NA,NA,50.8486553736557,NA,NA,NA,NA
Chile,CHL,1941,NA,NA,5571001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
China,CHN,2017,268.32820000000004,14344.4212394424,1421021794,NA,1033.4458000000002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22086.0614930873,3.3113058974999996,5.099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76.47,3886.420648294703,2405.458726826657,5348.404260628214,271089.3473228038,2674.242018625239,100.92303855099652,17742.46540447376,1636.8631214925208,39334.549656425574,386641.40856537246,670297.3077528622,129306.31971182594,718507.1133439307,277782.22650360095,73366.89943021673,249699.34453024212,891047.23552143,NA,823869.2607532023,2542365.1220888444,2197652.6138145984,325.3290396128242,1690.183542774936,68054.92343744806,1242986.5501277023,1029847.77,1656146.0984075407,753131.7261006045,394876.2582768359,147.102282546731,0.33817407257800003,0.321906029616,0.159587521318,3.03096888849,1.11394315344,1.22090281616,NA,113,48.6663481812862,11.3965006176,307002366.2318381,27262751.70196749,37220188.80282113
Congo,COG,1963,129.2184,NA,1096638,NA,43.10020000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.48,87.2,333.27,1618.05,NA,NA,NA,4.23,0,0,1.78,0.27,0,0.07,0,3.86,22.99,13.95,47.486,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.21123865300146,NA,NA,NA,NA,NA,NA,NA,NA,50.8762235122256,NA,NA,NA,NA
Congo,COG,1921,NA,NA,527597,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cuba,CUB,1906,NA,NA,2018590,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyprus,CYP,1917,NA,NA,298431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
